1140.07	1141.98	
1142.09	1143.56	
1143.68	1145.17	
1145.30	1146.74	
1146.86	1149.43	
1149.53	1151.53	
1151.53	1153.51	
1153.68	1155.35	
1155.49	1157.89	
1158.03	1160.15	
1160.15	1162.68	
1162.81	1165.16	
1165.32	1166.84	
1167.02	1169.00	
1169.15	1170.89	
1170.89	1172.69	
1172.82	1174.95	
1174.95	1177.67	
1177.85	1180.26	
1180.40	1181.86	
1181.97	1183.48	
1183.69	1185.16	
1185.35	1186.90	
1187.01	1188.69	
1188.84	1190.66	
1190.74	1192.35	
1192.49	1194.07	
1194.17	1196.05	
1196.16	1198.00	
1198.05	1200.04	
1200.07	1202.61	
1202.69	1204.41	
1204.43	1206.18	
1206.31	1207.84	
1208.00	1210.10	
1210.28	1211.99	
1212.01	1213.46	
1213.68	1215.20	
1215.41	1217.04	
1217.21	1219.04	
1219.21	1220.97	
1221.08	1222.85	
1222.99	1224.63	
1224.73	1226.73	
1226.73	1228.53	
1228.69	1230.41	
1230.62	1233.23	
1233.39	1235.16	
1235.35	1237.23	
1237.41	1239.18	
1239.36	1241.00	
1241.17	1243.35	
1243.47	1245.42	
1245.50	1247.34	
1247.48	1249.97	
1250.13	1252.40	
1252.50	1254.80	
1254.94	1256.52	
1256.68	1258.86	
1259.06	1261.93	
1262.05	1263.99	
1264.17	1266.39	
1266.64	1268.50	
1268.66	1270.43	
1270.62	1272.55	
1272.76	1275.05	
1275.26	1277.40	
1277.57	1280.75	
1280.94	1283.15	
1283.27	1285.61	
1285.77	1288.38	
1288.54	1290.71	
1290.87	1293.22	
1293.47	1296.21	
1296.32	1298.92	
1299.09	1301.02	
1301.21	1303.09	
1303.26	1305.80	
1305.99	1308.29	
1308.57	1310.98	
1311.14	1313.85	
1314.02	1316.29	
1316.45	1319.38	
1319.47	1321.23	
1321.38	1323.26	
1323.26	1325.52	
1325.63	1327.48	
1327.55	1330.15	
1330.23	1332.91	
1332.99	1335.50	
1335.68	1338.31	
1338.44	1340.49	
1340.57	1342.56	
1342.70	1345.05	
1345.14	1347.68	
1347.78	1350.28	
1350.49	1352.98	
1353.18	1355.76	
1355.76	1357.66	
1357.74	1359.63	
1359.63	1361.62	
1361.76	1364.83	
1365.04	1367.57	
1367.71	1370.02	
1370.21	1372.71	
1372.85	1375.41	
1375.53	1377.91	
1378.02	1380.10	
1380.31	1382.27	
1382.41	1384.88	
1385.05	1387.56	
1387.72	1389.39	
1389.53	1391.22	
1391.37	1392.79	
1392.99	1394.64	
1394.75	1396.22	
1396.36	1397.83	
1398.02	1399.62	
1399.75	1401.47	
1401.63	1403.40	
1403.55	1405.89	
1406.03	1408.09	
1408.25	1410.24	
1410.30	1412.20	
1412.46	1414.30	
1414.55	1416.16	
1416.27	1418.54	
1418.64	1420.94	
1421.09	1423.30	
1423.48	1425.25	
1425.32	1427.14	
